,Unnamed: 0,title,category,review_count,review_rating,latitude,longitude,thumbnail,order_online
0,0,Shiv Sagar Family Restaurant & Bar,Restaurant,1585,4.0,19.214941,73.088541,https://lh5.googleusercontent.com/p/AF1QipNOxuxIoPbCaxSZPZlWkmfR7xatkMfvypf1QBoR=w408-h544-k-no,
1,1,Royal Garden,South Indian restaurant,418,3.8,19.21018,73.097242,https://lh3.googleusercontent.com/gps-proxy/AFm_dcS9-ZiPsiuraTS1jehGQMGBt4xdQQJ3uFMSKEbUShtk2-M_xojEovN3fhtCBg9Ntq1xdUYLX_Vpo25m-5FE60xnlGY7XymGhuHcrcf18een_yU5PNjOOP1haJHWs-fZtChTEaojm1aZpkLpiOjPzbvy_JOTS3Sl7nTxFtQhgOqey6BTYmyqdQfEGTd1IX48d5W8wJ4=w426-h240-k-no,
2,2,Mantra Dining Bar And Restaurant,North Indian restaurant,634,3.9,19.219943,73.092271,https://lh5.googleusercontent.com/p/AF1QipMjB-oznZev5qwUCEpUis6d2CmewEGH-DBvnOzc=w520-h240-k-no,https://www.swiggy.com/restaurants/mantra-dining-bar-savarkar-road-dombivli-mumbai-404391?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
3,3,SWA Grilled House Restaurant,Restaurant,339,4.3,19.220105,73.087383,https://lh5.googleusercontent.com/p/AF1QipNr9ax3e-7T_0oseOSmorkRm47DCRRBWWl3w2fW=w426-h240-k-no,https://www.swiggy.com/restaurants/swa-grilled-house-dombivli-mumbai-121851?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
4,4,Hotel Ambika NX Pure Veg,Restaurant,3584,4.1,19.214438,73.089825,https://lh5.googleusercontent.com/p/AF1QipPtqMcZ2jmhn1Q5cYGkt-rSoQ36EqRBxdkBs5GL=w408-h306-k-no,https://www.zomato.com/mumbai/hotel-ambika-pure-veg-dombivali-east/book
5,5,Royal Treat Restaurant,Restaurant,151,3.8,19.219797,73.086478,https://lh5.googleusercontent.com/p/AF1QipMRl6oN6jNRBj4LjOjajlWHkaAOjhi7fbd_L1sK=w426-h240-k-no,
6,6,The Legend Restaurant,Vegetarian restaurant,2531,4.2,19.219138,73.09041,https://lh5.googleusercontent.com/p/AF1QipOuyTjn6Dj__OVvB5sccFSMhxLqxsKf_o6Ju9rv=w426-h240-k-no,https://www.swiggy.com/restaurants/the-legend-dombivali-east-dombivli-mumbai-34826?utm_source=GooglePlaceOrder&utm_campaign=GoogleMap&is_retargeting=true&media_source=GooglePlaceOrder
7,7,K. V.Chinese Corner,Chinese restaurant,1282,4.0,19.21926,73.089775,https://lh5.googleusercontent.com/p/AF1QipOnE8wZYumuyNdBGXHHjojH0UPBk2MazDKGxeCB=w408-h306-k-no,https://www.zomato.com/mumbai/kv-chinese-corner-dombivali-east-thane/book
8,8,Red Chilly Family Restaurant,Chinese restaurant,1102,3.6,19.219757,73.087842,https://lh5.googleusercontent.com/p/AF1QipOs6jb9uFdMdO2GwKtyaXPMHlqow_IU4-pW6Hs=w426-h240-k-no,https://magicpin.in/Mumbai/Dombivali/Food/Red-Chilly-Family-Restaurant/store/187041/delivery/?utm_source=reserve_google&utm_campaign=starter_integration&utm_medium=delivery&rwg_token=AOZt1jVcTAtT-UbyTHOloinCS-1N82im8hI2V6_TcVR4qGlMzEcbFz4x8aKl44i8UWnr8WkcCGNiJt2zwxCaIuJGfmFwWqyQtIx3jH2hcbklpjXAGoZFEiw%3D
9,9,Prashant Bar and Restaurant,Mughlai restaurant,1040,4.1,19.207075,73.095368,https://lh5.googleusercontent.com/p/AF1QipNHQGbe3W4J2pZpP4CMp-1pu51LbLDuth3uegN2=w408-h544-k-no,
